epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,966.596,0.97961,0.75564,1.23071,0.9004,0.7978,0.8458,0.557,1.24121,0.86993,1.37223,0.000675023,0.000675023,0.000675023
67,981.002,0.9704,0.76182,1.22781,0.8041,0.81625,0.83278,0.54124,1.29869,0.97242,1.4083,0.000671424,0.000671424,0.000671424
68,995.426,0.95564,0.72162,1.19976,0.79787,0.78555,0.81554,0.53861,1.22167,0.96926,1.29825,0.000667824,0.000667824,0.000667824
69,1010.07,0.97646,0.71788,1.22905,0.81091,0.76359,0.81427,0.52888,1.20029,0.88398,1.36378,0.000664224,0.000664224,0.000664224
70,1024.98,0.97656,0.72322,1.21382,0.76249,0.80679,0.80092,0.5151,1.19522,0.89243,1.35417,0.000660625,0.000660625,0.000660625
71,1039.51,0.95675,0.71301,1.19034,0.79922,0.72669,0.81537,0.52277,1.31807,0.96579,1.43742,0.000657025,0.000657025,0.000657025
72,1054.21,0.98502,0.73677,1.22036,0.74061,0.81244,0.79307,0.53292,1.21296,0.91106,1.35914,0.000653426,0.000653426,0.000653426
73,1068.91,0.97468,0.7435,1.21047,0.86491,0.78122,0.85107,0.55751,1.1947,0.88396,1.35474,0.000649826,0.000649826,0.000649826
74,1083.73,0.94987,0.73504,1.20055,0.83511,0.77973,0.83288,0.51593,1.29204,0.90124,1.38403,0.000646226,0.000646226,0.000646226
75,1098.21,0.95642,0.72829,1.20081,0.78935,0.81226,0.82576,0.52996,1.27453,0.91022,1.38375,0.000642627,0.000642627,0.000642627
76,1113.7,0.96332,0.73058,1.21006,0.88401,0.77726,0.85024,0.57903,1.19703,0.87293,1.3842,0.000639027,0.000639027,0.000639027
77,1128.4,0.96226,0.73827,1.20342,0.80392,0.80979,0.84028,0.54249,1.19015,0.92138,1.33627,0.000635427,0.000635427,0.000635427
78,1143.06,0.95466,0.7228,1.19706,0.92655,0.80711,0.8655,0.57977,1.13008,0.82759,1.27495,0.000631828,0.000631828,0.000631828
79,1157.6,0.93901,0.69079,1.18838,0.81633,0.83349,0.84882,0.57939,1.13148,0.83522,1.30811,0.000628228,0.000628228,0.000628228
80,1172.24,0.94527,0.71761,1.18697,0.73542,0.83206,0.82365,0.54495,1.16625,0.85609,1.29124,0.000624628,0.000624628,0.000624628
81,1186.82,0.92586,0.71141,1.18923,0.81865,0.79084,0.85115,0.54195,1.21022,0.8111,1.33676,0.000621029,0.000621029,0.000621029
82,1201.12,0.93493,0.7391,1.20425,0.89682,0.77658,0.86501,0.5456,1.19552,0.79015,1.35505,0.000617429,0.000617429,0.000617429
83,1215.6,0.91576,0.69369,1.19533,0.88187,0.80963,0.84257,0.56987,1.14471,0.82607,1.35419,0.00061383,0.00061383,0.00061383
84,1230.19,0.95177,0.71562,1.18645,0.82938,0.78956,0.85744,0.57087,1.16054,0.87571,1.38575,0.00061023,0.00061023,0.00061023
85,1244.59,0.92208,0.68963,1.18283,0.85324,0.79806,0.84819,0.54027,1.2488,0.87428,1.36639,0.00060663,0.00060663,0.00060663
86,1260.4,0.92858,0.69349,1.18741,0.87768,0.7864,0.84353,0.55328,1.14073,0.77116,1.33666,0.000603031,0.000603031,0.000603031
87,1274.98,0.89669,0.67037,1.16778,0.80926,0.79138,0.8438,0.57089,1.11475,0.85868,1.34553,0.000599431,0.000599431,0.000599431
88,1289.33,0.93445,0.68868,1.18817,0.81052,0.82607,0.84637,0.5768,1.19,0.92203,1.39007,0.000595831,0.000595831,0.000595831
89,1303.55,0.95344,0.72916,1.20926,0.8126,0.75894,0.77589,0.51495,1.21504,0.96913,1.35985,0.000592232,0.000592232,0.000592232
90,1317.95,0.92282,0.69419,1.1821,0.82578,0.73906,0.82746,0.56679,1.11095,0.92651,1.31927,0.000588632,0.000588632,0.000588632
91,1332.44,0.90646,0.68711,1.16446,0.78224,0.87938,0.85039,0.54617,1.21947,0.78978,1.41961,0.000585032,0.000585032,0.000585032
92,1346.88,0.91085,0.69391,1.16588,0.79433,0.79112,0.84881,0.5426,1.25012,0.88702,1.42895,0.000581433,0.000581433,0.000581433
93,1361.6,0.91793,0.72966,1.19167,0.90707,0.74044,0.84229,0.54854,1.19917,0.85957,1.36237,0.000577833,0.000577833,0.000577833
94,1376.17,0.91593,0.71225,1.19426,0.81848,0.73185,0.82495,0.52129,1.21722,0.86712,1.42556,0.000574233,0.000574233,0.000574233
95,1390.59,0.91223,0.68413,1.17952,0.87112,0.77209,0.84985,0.5564,1.20832,0.8395,1.38629,0.000570634,0.000570634,0.000570634
96,1406.3,0.92963,0.69536,1.18229,0.86068,0.79092,0.85652,0.54919,1.21597,0.84458,1.37777,0.000567034,0.000567034,0.000567034
97,1421.22,0.92925,0.69557,1.18603,0.83435,0.81098,0.84032,0.56364,1.15223,0.87659,1.34309,0.000563435,0.000563435,0.000563435
98,1436,0.93149,0.70149,1.18909,0.80189,0.7041,0.77773,0.52806,1.12796,0.90624,1.32315,0.000559835,0.000559835,0.000559835
99,1451.29,0.91514,0.68581,1.17623,0.85993,0.78382,0.842,0.53317,1.19916,0.90807,1.37961,0.000556235,0.000556235,0.000556235
100,1465.98,0.90305,0.66092,1.16611,0.829,0.77203,0.84738,0.57481,1.14373,0.85434,1.32738,0.000552636,0.000552636,0.000552636
101,1480.43,0.89824,0.63918,1.15986,0.81496,0.74294,0.83697,0.54643,1.19824,0.86657,1.36495,0.000549036,0.000549036,0.000549036
102,1494.96,0.90094,0.64861,1.15884,0.79247,0.81206,0.77767,0.52791,1.16876,0.8599,1.36419,0.000545436,0.000545436,0.000545436
103,1509.53,0.90457,0.66693,1.16721,0.82596,0.79018,0.83107,0.55821,1.09802,0.8781,1.31124,0.000541837,0.000541837,0.000541837
104,1524.45,0.90453,0.67009,1.17876,0.80969,0.80815,0.83502,0.5467,1.13189,0.8697,1.37869,0.000538237,0.000538237,0.000538237
105,1538.87,0.88868,0.65488,1.17398,0.92051,0.76915,0.84551,0.56023,1.13562,0.81574,1.35312,0.000534637,0.000534637,0.000534637
106,1554.16,0.91819,0.67757,1.18356,0.92229,0.83307,0.86705,0.57979,1.09288,0.80568,1.29511,0.000531038,0.000531038,0.000531038
107,1569.51,0.90348,0.67341,1.1897,0.89917,0.80915,0.86247,0.56779,1.14469,0.87282,1.36064,0.000527438,0.000527438,0.000527438
108,1584.31,0.88989,0.66959,1.16085,0.87466,0.77796,0.84812,0.56449,1.12847,0.81148,1.34678,0.000523839,0.000523839,0.000523839
109,1598.7,0.88687,0.65261,1.14852,0.80127,0.82891,0.84773,0.56814,1.12542,0.83245,1.33091,0.000520239,0.000520239,0.000520239
110,1613.62,0.88693,0.64427,1.15864,0.73295,0.85497,0.83058,0.5769,1.1678,0.84426,1.3834,0.000516639,0.000516639,0.000516639
111,1628.09,0.90516,0.67055,1.16596,0.79552,0.83158,0.82983,0.56943,1.14515,0.84555,1.35262,0.00051304,0.00051304,0.00051304
112,1642.74,0.89156,0.65601,1.16567,0.89485,0.77977,0.85235,0.57899,1.11459,0.81301,1.33831,0.00050944,0.00050944,0.00050944
113,1657.38,0.90238,0.66154,1.16305,0.76876,0.7984,0.82444,0.55439,1.1293,0.7961,1.32416,0.00050584,0.00050584,0.00050584
114,1672.12,0.84992,0.61335,1.1291,0.79235,0.75424,0.81858,0.5693,1.1349,0.8347,1.34688,0.000502241,0.000502241,0.000502241
115,1686.4,0.86022,0.61123,1.1579,0.82341,0.80492,0.85159,0.57425,1.11497,0.83241,1.3161,0.000498641,0.000498641,0.000498641
116,1701.96,0.88537,0.64847,1.15648,0.85206,0.73621,0.81227,0.55143,1.13336,0.88823,1.35922,0.000495041,0.000495041,0.000495041
117,1716.59,0.88041,0.63192,1.14678,0.80147,0.81375,0.83244,0.55102,1.10457,0.84032,1.33373,0.000491442,0.000491442,0.000491442
118,1731.99,0.88173,0.63586,1.15184,0.86387,0.79458,0.84654,0.58892,1.09843,0.86824,1.33441,0.000487842,0.000487842,0.000487842
119,1746.52,0.86634,0.64172,1.15682,0.85846,0.79103,0.86935,0.59779,1.04879,0.77164,1.3131,0.000484242,0.000484242,0.000484242
120,1761.29,0.89256,0.64286,1.1665,0.87488,0.77904,0.8506,0.55471,1.19439,0.82377,1.38933,0.000480643,0.000480643,0.000480643
121,1776.23,0.85832,0.61362,1.13752,0.88692,0.7895,0.8467,0.58322,1.15377,0.8469,1.37244,0.000477043,0.000477043,0.000477043
122,1790.57,0.84805,0.61196,1.14574,0.80279,0.8012,0.81704,0.56404,1.1225,0.85832,1.32961,0.000473444,0.000473444,0.000473444
123,1805.07,0.8639,0.63602,1.14808,0.85411,0.77551,0.83696,0.5421,1.20728,0.87227,1.38351,0.000469844,0.000469844,0.000469844
124,1819.43,0.86787,0.64392,1.14448,0.87247,0.83912,0.84719,0.54684,1.16833,0.84481,1.36817,0.000466244,0.000466244,0.000466244
125,1833.86,0.87366,0.64657,1.15275,0.75992,0.84072,0.86156,0.57965,1.12753,0.79361,1.36112,0.000462645,0.000462645,0.000462645
126,1848.23,0.87712,0.6362,1.14413,0.82678,0.79145,0.86143,0.58029,1.121,0.80749,1.35704,0.000459045,0.000459045,0.000459045
127,1864.01,0.85313,0.62061,1.14238,0.85977,0.76704,0.85169,0.5756,1.16316,0.80255,1.38992,0.000455445,0.000455445,0.000455445
128,1878.6,0.86579,0.61849,1.14631,0.83568,0.7166,0.83296,0.55218,1.13092,0.82348,1.37187,0.000451846,0.000451846,0.000451846
129,1892.95,0.8227,0.59895,1.13622,0.85011,0.77561,0.83756,0.54796,1.1893,0.84062,1.41455,0.000448246,0.000448246,0.000448246
130,1907.23,0.86927,0.6309,1.13381,0.84114,0.8225,0.8445,0.57927,1.13773,0.81642,1.36599,0.000444646,0.000444646,0.000444646
131,1922.09,0.86031,0.62754,1.15037,0.83798,0.82877,0.85209,0.58228,1.09474,0.82705,1.33458,0.000441047,0.000441047,0.000441047
132,1936.9,0.85832,0.61346,1.14157,0.80412,0.83142,0.83465,0.55595,1.19579,0.86108,1.41657,0.000437447,0.000437447,0.000437447
133,1951.31,0.85062,0.62202,1.13252,0.84625,0.8325,0.83904,0.54548,1.18222,0.85036,1.42428,0.000433848,0.000433848,0.000433848
134,1966.04,0.86442,0.61838,1.14159,0.88099,0.83349,0.83612,0.54326,1.1881,0.85962,1.40832,0.000430248,0.000430248,0.000430248
135,1980.65,0.85327,0.60992,1.13209,0.8056,0.80438,0.82701,0.54655,1.19169,0.83777,1.40824,0.000426648,0.000426648,0.000426648
136,1995.42,0.8409,0.60117,1.12909,0.82991,0.80887,0.82859,0.55963,1.18081,0.82445,1.41479,0.000423049,0.000423049,0.000423049
137,2011.22,0.82989,0.59119,1.12221,0.84404,0.80731,0.83566,0.57084,1.10364,0.82294,1.37537,0.000419449,0.000419449,0.000419449
138,2026.17,0.84228,0.59853,1.13414,0.82784,0.85398,0.84438,0.57099,1.1244,0.81641,1.3796,0.000415849,0.000415849,0.000415849
139,2040.91,0.84448,0.6094,1.14186,0.81155,0.83263,0.82311,0.54694,1.15638,0.84458,1.40702,0.00041225,0.00041225,0.00041225
140,2055.89,0.86026,0.61473,1.13443,0.8624,0.80861,0.84057,0.57982,1.11804,0.88942,1.36575,0.00040865,0.00040865,0.00040865
141,2070.59,0.85601,0.60066,1.14846,0.87855,0.77547,0.85762,0.56705,1.16494,0.83903,1.43085,0.00040505,0.00040505,0.00040505
142,2085.25,0.82467,0.59171,1.12272,0.8686,0.78396,0.80587,0.5176,1.16191,0.87145,1.38956,0.000401451,0.000401451,0.000401451
