epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,836.349,0.6769,0.45393,0.94831,0.82968,0.81383,0.81389,0.55911,1.20039,1.17656,1.48522,0.000243067,0.000243067,0.000243067
76,847.271,0.66803,0.44809,0.9459,0.84871,0.81004,0.82721,0.57599,1.22056,1.09368,1.53404,0.000234068,0.000234068,0.000234068
77,857.935,0.6765,0.45083,0.94685,0.80209,0.82969,0.83207,0.55988,1.20673,1.04965,1.50541,0.000225068,0.000225068,0.000225068
78,867.981,0.63661,0.43998,0.94741,0.78771,0.83348,0.82929,0.55625,1.17544,1.02864,1.46807,0.000216069,0.000216069,0.000216069
79,878.501,0.66209,0.44142,0.9421,0.87133,0.78959,0.83095,0.56675,1.1457,1.01018,1.44688,0.00020707,0.00020707,0.00020707
80,889.789,0.63996,0.43839,0.94066,0.87836,0.79372,0.82386,0.56563,1.15138,1.05119,1.42512,0.000198071,0.000198071,0.000198071
81,900.519,0.62472,0.43121,0.9417,0.85659,0.80693,0.83821,0.56565,1.19664,1.02486,1.46848,0.000189072,0.000189072,0.000189072
82,912.414,0.65092,0.43853,0.93875,0.88268,0.80902,0.8356,0.57044,1.13227,1.00386,1.41336,0.000180073,0.000180073,0.000180073
83,923.296,0.6421,0.42508,0.94014,0.87457,0.79574,0.84041,0.57613,1.14975,0.976,1.43362,0.000171074,0.000171074,0.000171074
84,933.936,0.64365,0.43433,0.93814,0.8526,0.80891,0.8317,0.56463,1.13289,0.97587,1.40743,0.000162075,0.000162075,0.000162075
85,945.157,0.65541,0.42999,0.94683,0.8355,0.81947,0.83864,0.56304,1.14972,1.01947,1.42365,0.000153076,0.000153076,0.000153076
86,955.658,0.63231,0.42496,0.93528,0.83344,0.80405,0.83479,0.58517,1.12395,1.02745,1.38899,0.000144077,0.000144077,0.000144077
87,965.862,0.61763,0.42015,0.93418,0.86144,0.84059,0.83642,0.57791,1.13402,1.02321,1.40802,0.000135077,0.000135077,0.000135077
88,977.188,0.62285,0.41744,0.93458,0.88086,0.80966,0.83499,0.55718,1.17211,1.01,1.42935,0.000126078,0.000126078,0.000126078
89,987.779,0.59278,0.40893,0.93022,0.86809,0.80522,0.83071,0.5686,1.17334,1.02561,1.45261,0.000117079,0.000117079,0.000117079
